year,category,occupation,count_all,avg_salary
1950,"Transportation and Material Moving","Sailors and marine oilers, and ship engineers",59708,20031.528571428575
1950,"No Occupation","Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked",90860200,2660.3824781267704
1950,"Management in Business, Science, and Arts","Farmers, Ranchers, and Other Agricultural Managers",4415727,16460.058839153193
1950,"Life, Physical, and Social Science","Life, Physical, and Social Science Technicians, nec",117674,26952.82122905028
1950,"Construction","Electricians",343393,30389.3253968254
1950,"Transportation and Material Moving","Driver/Sales Workers and Truck Drivers",1704613,22185.573416468727
1950,"Social Service","Physicians and Surgeons",207154,56740.20260252366
1950,"Building and Grounds Cleaning and Maintenance","Maids and Housekeeping Cleaners",424573,10848.836943164364
1950,"Management in Business, Science, and Arts","Managers, nec (including Postmasters)",4560097,36171.940852055
1950,"Corporate","Bookkeeping, Accounting, and Auditing Clerks",780613,18579.18156554943
1950,"Corporate","Sales and Related Workers, All Other",3709570,21524.752753649147
1950,"Construction","Painters, Construction and Maintenance",452938,20905.01445603577
1950,"Business Operations Specialists","Buyers and Purchasing Agents, Farm Products",28939,30378.83888888889
1950,"Transportation and Material Moving","Railroad Brake, Signal, and Switch Operators",149057,29895.437219730946
1950,"Arts, Design, Entertainment, Sports, and Media","Editors, News Analysts, Reporters, and Correspondents",92389,37534.54710144928
1950,"Corporate","Telephone Operators",393692,17482.884940778342
1950,"Production","First-Line Supervisors of Production and Operating Workers",865414,34731.99980981362
1950,"Production","Other production workers including semiconductor processors and cooling and freezing equipment operators",6802186,19095.671081704804
1950,"Architecture and Engineering","Engineers, nec",79294,43503.146171171175
1950,"Transportation and Material Moving","Material moving workers, nec",3443760,16810.467184910813
1950,"Corporate","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",128311,6643.68984375
1950,"Social Service","Medical Assistants and Other Healthcare Support Occupations, nec",259813,13793.32684824903
1950,"Corporate","Office Clerks, General",3154604,21048.259193363247
1950,"Farming, Fisheries, and Forestry","Agricultural workers, nec",2861641,5971.396189559507
1950,"Installation, Maintenance, and Repair","Maintenance Workers, Machinery",97940,24692.508223684214
1950,"Corporate","Insurance Sales Agents",316202,34045.16721491228
1950,"Installation, Maintenance, and Repair","Radio and Telecommunications Equipment Installers and Repairers",221527,28722.281105990787
1950,"Social Service","Firefighters",114913,29367.39096573209
1950,"Production","Textile Knitting and Weaving Machine Setters, Operators, and Tenders",109040,19101.457680250784
1950,"Education, Training, and Library","Elementary and Middle School Teachers",1172517,22820.33942743764
1950,"Farming, Fisheries, and Forestry","Forest and Conservation Workers",20764,24035.29166666667
1950,"Arts, Design, Entertainment, Sports, and Media","Photographers",56598,27506.174712643682
1950,"Architecture and Engineering","Surveyors, Cartographers, and Photogrammetrists",41588,20899.84375
1950,"Social Service","Opticians, Dispensing",21716,32303.89830508475
1950,"Production","Textile, Apparel, and Furnishings workers, nec",33925,21884.929906542056
1950,"Construction","Sheet Metal Workers, metal-working",146603,28513.276595744683
1950,"Building and Grounds Cleaning and Maintenance","Janitors and Building Cleaners",491290,15692.418785310736
1950,"Food Preparation and Serving","Waiters and Waitresses",747779,9144.683490566038
1950,"Production","Laundry and Dry-Cleaning Workers",529737,11554.223659889096
1950,"Military","Military, Rank Not Specified",1022498,18582.472668810293
1950,"Transportation and Material Moving","Ship and Boat Captains and Operators",51423,37139.030479452056
1950,"Corporate","Shipping, Receiving, and Traffic Clerks",309189,22316.805239179954
1950,"Food Preparation and Serving","Counter Attendant, Cafeteria, Food Concession, and Coffee Shop",101595,10591.41935483871
1950,"Corporate","Secretaries and Administrative Assistants",1680694,18844.724784144426
1950,"Construction","Pipelayers, Plumbers, Pipefitters, and Steamfitters",318860,28721.38263665595
1950,"Social Service","Hairdressers, Hairstylists, and Cosmetologists",402464,17165.256004803843
1950,"Legal","Lawyers, and judges, magistrates, and other judicial workers",181560,53079.25963488845
1950,"Production","Stationary Engineers and Boiler Operators",232512,32489.500000000004
1950,"Transportation and Material Moving","Locomotive Engineers and Operators",140704,37202.83783783784
1950,"Corporate","Communications Equipment Operators, All Other",36443,27532.28448275862
1950,"Transportation and Material Moving","Automotive and Watercraft Service Attendants",264355,15699.4761875
1950,"Corporate","Real Estate Brokers and Sales Agents",160834,32839.640042826555
1950,"Community and Social Services","Social Workers",87329,23990.580357142862
1950,"Education, Training, and Library","Librarians",62394,20546.328125
1950,"Social Service","Law enforcement workers, nec",269816,22164.142480211085
1950,"Construction","Brickmasons, Blockmasons, and Stonemasons",180483,25040.66731141199
1950,"Social Service","Pharmacists",99695,35017.376951672864
1950,"Architecture and Engineering","Electrical and Electronics Engineers",112552,40906.55015197569
1950,"Production","Bookbinders, Printing Machine Operators, and Job Printers",114418,26908.253424657534
1950,"Social Service","Personal Care and Service Workers, All Other",1384510,6215.739771646053
1950,"Installation, Maintenance, and Repair","Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers",916260,25750.079989015016
1950,"Architecture and Engineering","Mechanical Engineers",119429,41976.71139053255
1950,"Social Service","Registered Nurses",415439,17140.381694644286
1950,"Transportation and Material Moving","Transportation workers, nec",28745,22109.360465116282
1950,"Food Preparation and Serving","Food Preparation Workers",599763,10855.974986118823
1950,"Production","Bakers",121809,23353.958904109593
1950,"Production","Tailors, Dressmakers, and Sewers",258491,15377.134112149533
1950,"Transportation and Material Moving","Taxi Drivers and Chauffeurs",214959,19507.6709375
1950,"Corporate","Postal Service Mail Carriers",172531,28467.16085271318
1950,"Production","Machinists",552350,27584.87012987013
1950,"Life, Physical, and Social Science","Professional, Research, or Technical Workers, nec",118584,32082.749854651163
1950,"Production","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",214138,24400.139728096678
1950,"Construction","Carpenters",1001205,22076.060841533763
1950,"Financial Specialists","Accountants and Auditors",390390,35260.82682291667
1950,"Corporate","Cashiers",247510,15543.522624113477
1950,"Building and Grounds Cleaning and Maintenance","Grounds Maintenance Workers",162319,14367.544378698227
1950,"Production","Painting Workers and Dyers",185714,21571.42632075472
1950,"Arts, Design, Entertainment, Sports, and Media","Athletes, Coaches, Umpires, and Related Workers",54841,26043.88888888889
1950,"Production","Shoe Machine Operators and Tenders",58075,16712.460542168676
1950,"Production","Prepress Technicians and Workers",186377,31831.680123674912
1950,"Installation, Maintenance, and Repair","Automotive Service Technicians and Mechanics",716141,23395.31224584104
1950,"Transportation and Material Moving","Dredge, Excavating, and Loading Machine Operators",115826,27207.737388724036
1950,"Arts, Design, Entertainment, Sports, and Media","Entertainers and Performers, Sports and Related Workers, All Other",18211,17044.166666666668
1950,"Food Preparation and Serving","Chefs and Cooks",489714,14519.992206477735
1950,"Social Service","Police Officers and Detectives",216462,29505.721804511282
1950,"Transportation and Material Moving","Bus and Ambulance Drivers and Attendants",162062,25108.14495884774
1950,"Arts, Design, Entertainment, Sports, and Media","Designers",88691,29912.06672862454
1950,"Arts, Design, Entertainment, Sports, and Media","Musicians, Singers, and Related Workers",175848,19679.79611650486
1950,"Construction","Paperhangers",25894,15568.03370786517
1950,"Social Service","Baggage Porters, Bellhops, and Concierges",189587,15884.056859205777
1950,"Business Operations Specialists","Wholesale and Retail Buyers, Except Farm Products",139201,39541.605890052364
1950,"Management in Business, Science, and Arts","Funeral Directors",39819,29546.835937500004
1950,"Computer and Mathematical","Statisticians",24377,33452.21014492754
1950,"Production","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",83991,15226.064049586777
1950,"Production","Upholsterers",67497,23738.48167539267
1950,"Production","Tool and Die Makers",163760,33066.82135728543
1950,"Installation, Maintenance, and Repair","Electrical and electronics repairers, transportation equipment, and industrial and utility",53508,28761.00903614458
1950,"Social Service","Clinical Laboratory Technologists and Technicians",83905,22396.08823529412
1950,"Arts, Design, Entertainment, Sports, and Media","Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other",19460,33431.313559322036
1950,"Farming, Fisheries, and Forestry","Fishing and hunting workers",83555,14890.193089430895
1950,"Farming, Fisheries, and Forestry","Logging Workers",206100,12797.336683417087
1950,"Production","Rolling Machine Setters, Operators, and Tenders, metal and Plastic",34684,28529.68137254902
1950,"Production","Butchers and Other Meat, Poultry, and Fish Processing Workers",178909,25563.809732142858
1950,"Management in Business, Science, and Arts","Chief executives and legislators/public administration",132021,34923.59740259741
1950,"Corporate","Office Machine Operators, Except Computer",157421,18521.260460251047
1950,"Social Service","Nursing, Psychiatric, and Home Health Aides",69753,2504.1262135922334
1950,"Food Preparation and Serving","Bartenders",227435,21144.310225669957
1950,"Social Service","Dentists",73748,51986.752336448604
1950,"Production","Sawing Machine Setters, Operators, and Tenders, Wood",101610,16741.054313099045
1950,"Production","Welding, Soldering, and Brazing Workers",294999,26489.339352941177
1950,"Community and Social Services","Religious Workers, nec",45410,10407.5
1950,"Production","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",177400,24822.022513562388
1950,"Installation, Maintenance, and Repair","Electronic Home Entertainment Equipment Installers and Repairers",81554,20991.104098360658
1950,"Production","Model Makers and Patternmakers, Metal and Plastic",55233,25984.549418604653
1950,"Corporate","Library Assistants, Clerical",15299,13718.475609756098
1950,"Installation, Maintenance, and Repair","Aircraft Mechanics and Service Technicians",75755,31340.299586776862
1950,"Corporate","Bill and Account Collectors",22289,23104.787121212124
1950,"Production","Jewelers and Precious Stone and Metal Workers",51930,24235.72924528302
1950,"Life, Physical, and Social Science","Chemists and Materials Scientists",80122,37851.71810699588
1950,"Production","Power Plant Operators, Distributors, and Dispatchers",23895,31843.728813559326
1950,"Transportation and Material Moving","Crane and Tower Operators",111734,27627.786764705885
1950,"Social Service","Therapists, nec",25605,21551.021641791045
1950,"Corporate","Couriers and Messengers",77986,12756.863839285716
1950,"Architecture and Engineering","Drafters",120070,30619.16666666667
1950,"Construction","Cement Masons, Concrete Finishers, and Terrazzo Workers",37171,24696.973684210527
1950,"Life, Physical, and Social Science","Conservation Scientists and Foresters",28235,28524.90384615385
1950,"Corporate","First-Line Supervisors of Sales Workers",10528,27602.500000000004
1950,"Transportation and Material Moving","Conveyor operators and tenders, and hoist and winch operators",73562,21843.409090909092
1950,"Community and Social Services","Clergy",178213,20846.829847908746
1950,"Production","Photographic Process Workers and Processing Machine Operators",34475,19743.94495412844
1950,"Transportation and Material Moving","Cleaners of Vehicles and Equipment",99714,14501.116666666667
1950,"Social Service","Licensed Practical and Licensed Vocational Nurses",154440,9475.443298969072
1950,"Production","Cabinetmakers and Bench Carpenters",72235,22424.812259615384
1950,"Production","Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",62588,22704.1875
1950,"Arts, Design, Entertainment, Sports, and Media","Artists and Related Workers",83262,25482.44243697479
1950,"Transportation and Material Moving","Subway, Streetcar, and Other Rail Transportation Workers",25999,30290.88235294118
1950,"Production","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",25351,29858.626760563384
1950,"Production","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",17817,29000.222222222223
1950,"Corporate","Human Resources Assistants, Except Payroll and Timekeeping",55195,38359.298245614045
1950,"Production","Forging Machine Setters, Operators, and Tenders, Metal and Plastic",64344,24483.13829787234
1950,"Architecture and Engineering","Chemical Engineers",32398,46961.630434782615
1950,"Corporate","Mail Clerks and Mail Machine Operators, Except Postal Service",20076,33430.15151515152
1950,"Architecture and Engineering","Industrial Engineers, including Health and Safety",48132,42032.56896551724
1950,"Architecture and Engineering","Civil Engineers",133384,39770.30399002494
1950,"Corporate","Dispatchers",35082,27187.708333333336
1950,"Construction","Insulation Workers",19605,28183.208333333336
1950,"Installation, Maintenance, and Repair","Precision Instrument and Equipment Repairers",14258,23794.87804878049
