year,category,occupation,count_all,count_category_all,year_total,percentage,salary
1950,Social Service,Police Officers and Detectives,216462,2107551,152212600,1.384610078272101,29505.721804511282
1950,Social Service,Clinical Laboratory Technologists and Technicians,83905,2107551,152212600,1.384610078272101,22396.08823529412
1950,Social Service,"Nursing, Psychiatric, and Home Health Aides",69753,2107551,152212600,1.384610078272101,2504.1262135922334
1950,Social Service,Dentists,73748,2107551,152212600,1.384610078272101,51986.752336448604
1950,Social Service,"Therapists, nec",25605,2107551,152212600,1.384610078272101,21551.021641791045
1950,Social Service,Licensed Practical and Licensed Vocational Nurses,154440,2107551,152212600,1.384610078272101,9475.443298969072
1950,Social Service,Veterinarians,17944,2107551,152212600,1.384610078272101,32693.125000000004
1950,Social Service,Optometrists,17694,2107551,152212600,1.384610078272101,31606.141304347828
1950,Social Service,Dieticians and Nutritionists,24052,2107551,152212600,1.384610078272101,14123.484848484848
1950,Social Service,Chiropractors,14081,2107551,152212600,1.384610078272101,24623.54166666667
1950,Social Service,"Sheriffs, Bailiffs, Correctional Officers, and Jailers",20115,2107551,152212600,1.384610078272101,25427.019230769234
1950,Social Service,"Health Diagnosing and Treating Practitioners, nec",1206,2107551,152212600,1.384610078272101,2865.833333333334
1950,Building and Grounds Cleaning and Maintenance,Maids and Housekeeping Cleaners,424573,1078182,152212600,0.7083395198557807,10848.836943164364
1950,Building and Grounds Cleaning and Maintenance,Janitors and Building Cleaners,491290,1078182,152212600,0.7083395198557807,15692.418785310736
1950,Building and Grounds Cleaning and Maintenance,Grounds Maintenance Workers,162319,1078182,152212600,0.7083395198557807,14367.544378698227
1950,Corporate,"Bookkeeping, Accounting, and Auditing Clerks",780613,11678849,152212600,7.6727215749550295,18579.18156554943
1950,Corporate,"Sales and Related Workers, All Other",3709570,11678849,152212600,7.6727215749550295,21524.752753649147
1950,Corporate,Telephone Operators,393692,11678849,152212600,7.6727215749550295,17482.884940778342
1950,Corporate,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",128311,11678849,152212600,7.6727215749550295,6643.68984375
1950,Corporate,"Office Clerks, General",3154604,11678849,152212600,7.6727215749550295,21048.259193363247
1950,Corporate,Insurance Sales Agents,316202,11678849,152212600,7.6727215749550295,34045.16721491228
1950,Corporate,"Shipping, Receiving, and Traffic Clerks",309189,11678849,152212600,7.6727215749550295,22316.805239179954
1950,Corporate,Secretaries and Administrative Assistants,1680694,11678849,152212600,7.6727215749550295,18844.724784144426
1950,Corporate,"Communications Equipment Operators, All Other",36443,11678849,152212600,7.6727215749550295,27532.28448275862
1950,Corporate,Real Estate Brokers and Sales Agents,160834,11678849,152212600,7.6727215749550295,32839.640042826555
1950,Corporate,Postal Service Mail Carriers,172531,11678849,152212600,7.6727215749550295,28467.16085271318
1950,Corporate,Cashiers,247510,11678849,152212600,7.6727215749550295,15543.522624113477
1950,Corporate,"Office Machine Operators, Except Computer",157421,11678849,152212600,7.6727215749550295,18521.260460251047
1950,Corporate,"Library Assistants, Clerical",15299,11678849,152212600,7.6727215749550295,13718.475609756098
1950,Corporate,Bill and Account Collectors,22289,11678849,152212600,7.6727215749550295,23104.787121212124
1950,Corporate,Couriers and Messengers,77986,11678849,152212600,7.6727215749550295,12756.863839285716
1950,Corporate,First-Line Supervisors of Sales Workers,10528,11678849,152212600,7.6727215749550295,27602.500000000004
1950,Corporate,"Human Resources Assistants, Except Payroll and Timekeeping",55195,11678849,152212600,7.6727215749550295,38359.298245614045
1950,Corporate,"Mail Clerks and Mail Machine Operators, Except Postal Service",20076,11678849,152212600,7.6727215749550295,33430.15151515152
1950,Corporate,Dispatchers,35082,11678849,152212600,7.6727215749550295,27187.708333333336
1950,Corporate,Bank Tellers,68198,11678849,152212600,7.6727215749550295,23591.504854368937
1950,Corporate,Advertising Sales Agents,31119,11678849,152212600,7.6727215749550295,33476.62037037037
1950,Corporate,Reservation and Transportation Ticket Agents and Travel Clerks,60924,11678849,152212600,7.6727215749550295,31376.88235294118
1950,Corporate,"Securities, Commodities, and Financial Services Sales Agents",14519,11678849,152212600,7.6727215749550295,40787.847222222226
1950,Corporate,"Models, Demonstrators, and Product Promoters",20020,11678849,152212600,7.6727215749550295,11983.44827586207
1950,Business Operations Specialists,"Buyers and Purchasing Agents, Farm Products",28939,298029,152212600,0.1957978511634385,30378.83888888889
1950,Business Operations Specialists,"Wholesale and Retail Buyers, Except Farm Products",139201,298029,152212600,0.1957978511634385,39541.605890052364
1950,Business Operations Specialists,"Compliance Officers, Except Agriculture",58431,298029,152212600,0.1957978511634385,35082.05882352941
1950,Business Operations Specialists,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",71458,298029,152212600,0.1957978511634385,39996.398305084746
1950,"Arts, Design, Entertainment, Sports, and Media","Editors, News Analysts, Reporters, and Correspondents",92389,638452,152212600,0.41944753588073524,37534.54710144928
1950,"Arts, Design, Entertainment, Sports, and Media",Photographers,56598,638452,152212600,0.41944753588073524,27506.174712643682
1950,"Arts, Design, Entertainment, Sports, and Media","Athletes, Coaches, Umpires, and Related Workers",54841,638452,152212600,0.41944753588073524,26043.88888888889
1950,"Arts, Design, Entertainment, Sports, and Media","Entertainers and Performers, Sports and Related Workers, All Other",18211,638452,152212600,0.41944753588073524,17044.166666666668
1950,"Arts, Design, Entertainment, Sports, and Media",Designers,88691,638452,152212600,0.41944753588073524,29912.06672862454
1950,"Arts, Design, Entertainment, Sports, and Media","Musicians, Singers, and Related Workers",175848,638452,152212600,0.41944753588073524,19679.79611650486
1950,"Arts, Design, Entertainment, Sports, and Media","Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other",19460,638452,152212600,0.41944753588073524,33431.313559322036
1950,"Arts, Design, Entertainment, Sports, and Media",Artists and Related Workers,83262,638452,152212600,0.41944753588073524,25482.44243697479
1950,"Arts, Design, Entertainment, Sports, and Media",Writers and Authors,15741,638452,152212600,0.41944753588073524,29714.16666666667
1950,"Arts, Design, Entertainment, Sports, and Media","Actors, Producers, and Directors",17932,638452,152212600,0.41944753588073524,32204.521276595748
1950,"Arts, Design, Entertainment, Sports, and Media",Dancers and Choreographers,15479,638452,152212600,0.41944753588073524,15206.104651162792
1950,Production,First-Line Supervisors of Production and Operating Workers,865414,11934185,152212600,7.840471156789911,34731.99980981362
1950,Production,Other production workers including semiconductor processors and cooling and freezing equipment operators,6802186,11934185,152212600,7.840471156789911,19095.671081704804
1950,Production,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",109040,11934185,152212600,7.840471156789911,19101.457680250784
1950,Production,"Textile, Apparel, and Furnishings workers, nec",33925,11934185,152212600,7.840471156789911,21884.929906542056
1950,Production,Laundry and Dry-Cleaning Workers,529737,11934185,152212600,7.840471156789911,11554.223659889096
1950,Production,Stationary Engineers and Boiler Operators,232512,11934185,152212600,7.840471156789911,32489.500000000004
1950,Production,"Bookbinders, Printing Machine Operators, and Job Printers",114418,11934185,152212600,7.840471156789911,26908.253424657534
1950,Production,Bakers,121809,11934185,152212600,7.840471156789911,23353.958904109593
1950,Production,"Tailors, Dressmakers, and Sewers",258491,11934185,152212600,7.840471156789911,15377.134112149533
1950,Production,Machinists,552350,11934185,152212600,7.840471156789911,27584.87012987013
1950,Production,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",214138,11934185,152212600,7.840471156789911,24400.139728096678
1950,Production,Painting Workers and Dyers,185714,11934185,152212600,7.840471156789911,21571.42632075472
1950,Production,Shoe Machine Operators and Tenders,58075,11934185,152212600,7.840471156789911,16712.460542168676
1950,Production,Prepress Technicians and Workers,186377,11934185,152212600,7.840471156789911,31831.680123674912
1950,Production,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",83991,11934185,152212600,7.840471156789911,15226.064049586777
1950,Production,Upholsterers,67497,11934185,152212600,7.840471156789911,23738.48167539267
1950,Production,Tool and Die Makers,163760,11934185,152212600,7.840471156789911,33066.82135728543
1950,Production,"Rolling Machine Setters, Operators, and Tenders, metal and Plastic",34684,11934185,152212600,7.840471156789911,28529.68137254902
1950,Production,"Butchers and Other Meat, Poultry, and Fish Processing Workers",178909,11934185,152212600,7.840471156789911,25563.809732142858
1950,Production,"Sawing Machine Setters, Operators, and Tenders, Wood",101610,11934185,152212600,7.840471156789911,16741.054313099045
1950,Production,"Welding, Soldering, and Brazing Workers",294999,11934185,152212600,7.840471156789911,26489.339352941177
1950,Production,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",177400,11934185,152212600,7.840471156789911,24822.022513562388
1950,Production,"Model Makers and Patternmakers, Metal and Plastic",55233,11934185,152212600,7.840471156789911,25984.549418604653
1950,Production,Jewelers and Precious Stone and Metal Workers,51930,11934185,152212600,7.840471156789911,24235.72924528302
1950,Production,"Power Plant Operators, Distributors, and Dispatchers",23895,11934185,152212600,7.840471156789911,31843.728813559326
1950,Production,Photographic Process Workers and Processing Machine Operators,34475,11934185,152212600,7.840471156789911,19743.94495412844
1950,Production,Cabinetmakers and Bench Carpenters,72235,11934185,152212600,7.840471156789911,22424.812259615384
1950,Production,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",62588,11934185,152212600,7.840471156789911,22704.1875
1950,Production,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",25351,11934185,152212600,7.840471156789911,29858.626760563384
1950,Production,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",17817,11934185,152212600,7.840471156789911,29000.222222222223
1950,Production,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",64344,11934185,152212600,7.840471156789911,24483.13829787234
1950,Production,"Etchers, Engravers, and Lithographers",42677,11934185,152212600,7.840471156789911,34863.75896226415
1950,Production,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",12442,11934185,152212600,7.840471156789911,19845.35714285714
1950,Production,"Inspectors, Testers, Sorters, Samplers, and Weighers",104162,11934185,152212600,7.840471156789911,29235.188087774295
1950,Architecture and Engineering,"Engineers, nec",79294,754990,152212600,0.49601018575334765,43503.146171171175
1950,Architecture and Engineering,"Surveyors, Cartographers, and Photogrammetrists",41588,754990,152212600,0.49601018575334765,20899.84375
1950,Architecture and Engineering,Electrical and Electronics Engineers,112552,754990,152212600,0.49601018575334765,40906.55015197569
1950,Architecture and Engineering,Mechanical Engineers,119429,754990,152212600,0.49601018575334765,41976.71139053255
1950,Architecture and Engineering,Drafters,120070,754990,152212600,0.49601018575334765,30619.16666666667
1950,Architecture and Engineering,Chemical Engineers,32398,754990,152212600,0.49601018575334765,46961.630434782615
1950,Architecture and Engineering,"Industrial Engineers, including Health and Safety",48132,754990,152212600,0.49601018575334765,42032.56896551724
1950,Architecture and Engineering,Civil Engineers,133384,754990,152212600,0.49601018575334765,39770.30399002494
1950,Architecture and Engineering,Aerospace Engineers,18830,754990,152212600,0.49601018575334765,40210.08620689656
1950,Architecture and Engineering,"Architects, Except Naval",25590,754990,152212600,0.49601018575334765,49791.35542168675
1950,Architecture and Engineering,Materials Engineers,12544,754990,152212600,0.49601018575334765,42082.5
1950,Architecture and Engineering,"Petroleum, mining and geological engineers, including mining safety engineers",11179,754990,152212600,0.49601018575334765,45688.78787878788
1950,"Farming, Fisheries, and Forestry","Agricultural workers, nec",2861641,3243505,152212600,2.130904406074136,5971.396189559507
1950,"Farming, Fisheries, and Forestry",Forest and Conservation Workers,20764,3243505,152212600,2.130904406074136,24035.29166666667
1950,"Farming, Fisheries, and Forestry",Fishing and hunting workers,83555,3243505,152212600,2.130904406074136,14890.193089430895
1950,"Farming, Fisheries, and Forestry",Logging Workers,206100,3243505,152212600,2.130904406074136,12797.336683417087
1950,"Farming, Fisheries, and Forestry","Graders and Sorters, Agricultural Products",52612,3243505,152212600,2.130904406074136,12667.206790123459
1950,"Farming, Fisheries, and Forestry","First-Line Supervisors of Farming, Fishing, and Forestry Workers",18833,3243505,152212600,2.130904406074136,21818.369565217396
1950,"Installation, Maintenance, and Repair","Maintenance Workers, Machinery",97940,2256733,152212600,1.482619047306202,24692.508223684214
1950,"Installation, Maintenance, and Repair",Radio and Telecommunications Equipment Installers and Repairers,221527,2256733,152212600,1.482619047306202,28722.281105990787
1950,"Installation, Maintenance, and Repair","Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers",916260,2256733,152212600,1.482619047306202,25750.079989015016
1950,"Installation, Maintenance, and Repair",Automotive Service Technicians and Mechanics,716141,2256733,152212600,1.482619047306202,23395.31224584104
1950,"Installation, Maintenance, and Repair","Electrical and electronics repairers, transportation equipment, and industrial and utility",53508,2256733,152212600,1.482619047306202,28761.00903614458
1950,"Installation, Maintenance, and Repair",Electronic Home Entertainment Equipment Installers and Repairers,81554,2256733,152212600,1.482619047306202,20991.104098360658
1950,"Installation, Maintenance, and Repair",Aircraft Mechanics and Service Technicians,75755,2256733,152212600,1.482619047306202,31340.299586776862
1950,"Installation, Maintenance, and Repair",Precision Instrument and Equipment Repairers,14258,2256733,152212600,1.482619047306202,23794.87804878049
1950,"Installation, Maintenance, and Repair",Millwrights,60841,2256733,152212600,1.482619047306202,29462.500000000004
1950,"Installation, Maintenance, and Repair","Computer, Automated Teller, and Office Machine Repairers",18949,2256733,152212600,1.482619047306202,25866.791044776124
1950,"Education, Training, and Library",Elementary and Middle School Teachers,1172517,1352946,152212600,0.8888528282152727,22820.33942743764
1950,"Education, Training, and Library",Librarians,62394,1352946,152212600,0.8888528282152727,20546.328125
1950,"Education, Training, and Library",Postsecondary Teachers,118035,1352946,152212600,0.8888528282152727,32687.10059171598
1950,Food Preparation and Serving,Waiters and Waitresses,747779,2166286,152212600,1.4231975539475705,9144.683490566038
1950,Food Preparation and Serving,"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop",101595,2166286,152212600,1.4231975539475705,10591.41935483871
1950,Food Preparation and Serving,Food Preparation Workers,599763,2166286,152212600,1.4231975539475705,10855.974986118823
1950,Food Preparation and Serving,Chefs and Cooks,489714,2166286,152212600,1.4231975539475705,14519.992206477735
1950,Food Preparation and Serving,Bartenders,227435,2166286,152212600,1.4231975539475705,21144.310225669957
1950,Military,"Military, Rank Not Specified",1022498,1022498,152212600,0.6717564774532463,18582.472668810293
1950,Personal Care and Service,"Hairdressers, Hairstylists, and Cosmetologists",402464,2115060,152212600,1.3895433098179781,17165.256004803843
1950,Personal Care and Service,"Personal Care and Service Workers, All Other",1384510,2115060,152212600,1.3895433098179781,6215.739771646053
1950,Personal Care and Service,"Baggage Porters, Bellhops, and Concierges",189587,2115060,152212600,1.3895433098179781,15884.056859205777
1950,Personal Care and Service,"Entertainment Attendants and Related Workers, nec",95213,2115060,152212600,1.3895433098179781,12631.171617161719
1950,Personal Care and Service,"Ushers, Lobby Attendants, and Ticket Takers",26834,2115060,152212600,1.3895433098179781,5714.4285714285725
1950,Personal Care and Service,Recreation and Fitness Workers,16452,2115060,152212600,1.3895433098179781,29423.812500000004
1950,Legal,"Lawyers, and judges, magistrates, and other judicial workers",181560,181560,152212600,0.11928053262344905,53079.25963488845
1950,Community and Social Services,Social Workers,87329,310952,152212600,0.20428794988062748,23990.580357142862
1950,Community and Social Services,"Religious Workers, nec",45410,310952,152212600,0.20428794988062748,10407.5
1950,Community and Social Services,Clergy,178213,310952,152212600,0.20428794988062748,20846.829847908746
1950,Financial Specialists,Accountants and Auditors,390390,427301,152212600,0.28072643132040315,35260.82682291667
1950,Financial Specialists,"Financial Specialists, nec",36911,427301,152212600,0.28072643132040315,35696.41129032258
1950,Computer and Mathematical,Statisticians,24377,26687,152212600,0.017532714111709542,33452.21014492754
1950,Computer and Mathematical,"Mathematical science occupations, nec",2310,26687,152212600,0.017532714111709542,26697.500000000004
1950,Extraction,Mining Machine Operators,600575,612646,152212600,0.40249361747976187,21374.30250431779
1950,Extraction,"Explosives Workers, Ordnance Handling Experts, and Blasters",12071,612646,152212600,0.40249361747976187,23110.60975609756
1960,"Management in Business, Science, and Arts","Managers, nec (including Postmasters)",5244340,8613660,179312120,4.803724366205698,52921.95264115325
1960,"Management in Business, Science, and Arts","Farmers, Ranchers, and Other Agricultural Managers",2975120,8613660,179312120,4.803724366205698,19510.306471509626
1960,"Management in Business, Science, and Arts",Chief executives and legislators/public administration,240680,8613660,179312120,4.803724366205698,43782.33274601064
1960,"Management in Business, Science, and Arts",Education Administrators,8060,8613660,179312120,4.803724366205698,66218.71848635236
1960,"Management in Business, Science, and Arts","Managers in Marketing, Advertising, and Public Relations",37120,8613660,179312120,4.803724366205698,52256.15905172414
1960,"Management in Business, Science, and Arts","Property, Real Estate, and Community Association Managers",66460,8613660,179312120,4.803724366205698,22846.90019560638
1960,"Management in Business, Science, and Arts",Funeral Directors,41880,8613660,179312120,4.803724366205698,50432.427817574026
1960,Corporate,"Bookkeeping, Accounting, and Auditing Clerks",1425020,21629580,179312120,12.062530965558825,16424.736778292616
1960,Corporate,"Sales and Related Workers, All Other",5952940,21629580,179312120,12.062530965558825,21609.354709485156
1960,Corporate,"Office Clerks, General",4430600,21629580,179312120,12.062530965558825,19531.471614777296
1960,Corporate,Stock Clerks and Order Fillers,433060,21629580,179312120,12.062530965558825,22609.029654630358
1960,Corporate,Cashiers,827100,21629580,179312120,12.062530965558825,11156.797556340925
1960,Corporate,Secretaries and Administrative Assistants,2472980,21629580,179312120,12.062530965558825,16409.22194154421
1960,Corporate,Word Processors and Typists,1476020,21629580,179312120,12.062530965558825,13114.627087514238
1960,Corporate,Telephone Operators,674240,21629580,179312120,12.062530965558825,13847.464214696978
1960,Corporate,Bank Tellers,188460,21629580,179312120,12.062530965558825,19061.099607260374
1960,Corporate,Postal Service Mail Carriers,242480,21629580,179312120,12.062530965558825,33977.03474834983
1960,Corporate,Receptionists and Information Clerks,267680,21629580,179312120,12.062530965558825,10240.273536010769
1960,Corporate,Insurance Sales Agents,411180,21629580,179312120,12.062530965558825,47829.487440400895
1960,Corporate,Reservation and Transportation Ticket Agents and Travel Clerks,89920,21629580,179312120,12.062530965558825,33332.691705633486
1960,Corporate,Payroll and Timekeeping Clerks,163120,21629580,179312120,12.062530965558825,22907.757715443164
1960,Corporate,"Shipping, Receiving, and Traffic Clerks",335840,21629580,179312120,12.062530965558825,26487.365871171492
1960,Corporate,Bill and Account Collectors,38920,21629580,179312120,12.062530965558825,25488.478442959917
1960,Corporate,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",368760,21629580,179312120,12.062530965558825,5281.108284981031
1960,Corporate,Real Estate Brokers and Sales Agents,231940,21629580,179312120,12.062530965558825,45233.1128072445
1960,Corporate,Sales Engineers,60480,21629580,179312120,12.062530965558825,68366.39219318559
1960,Corporate,"Office Machine Operators, Except Computer",494060,21629580,179312120,12.062530965558825,17626.476339991088
1960,Corporate,Postal Service Clerks,280960,21629580,179312120,12.062530965558825,29242.405013173822
1960,Corporate,"Human Resources Assistants, Except Payroll and Timekeeping",117540,21629580,179312120,12.062530965558825,46387.71348314607
1960,Corporate,"Models, Demonstrators, and Product Promoters",53000,21629580,179312120,12.062530965558825,5642.127435800604
1960,Corporate,File Clerks,259420,21629580,179312120,12.062530965558825,10494.98292184245
1960,Corporate,"Library Assistants, Clerical",45780,21629580,179312120,12.062530965558825,11348.978246611281
1960,Corporate,Couriers and Messengers,101180,21629580,179312120,12.062530965558825,11457.754414682538
1960,Corporate,Advertising Sales Agents,39780,21629580,179312120,12.062530965558825,44324.32496229261
1960,Corporate,Dispatchers,65440,21629580,179312120,12.062530965558825,33598.33391929074
1960,Corporate,"Securities, Commodities, and Financial Services Sales Agents",30520,21629580,179312120,12.062530965558825,65006.99806684142
1960,Corporate,"Communications Equipment Operators, All Other",27480,21629580,179312120,12.062530965558825,30077.27596504006
1960,Corporate,First-Line Supervisors of Sales Workers,14220,21629580,179312120,12.062530965558825,23022.335513361464
1960,Corporate,"Mail Clerks and Mail Machine Operators, Except Postal Service",9460,21629580,179312120,12.062530965558825,35557.679069767444
1960,No Occupation,"Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked",92408080,92408080,179312120,51.53476519044,4898.854480481853
1960,Social Service,"Sheriffs, Bailiffs, Correctional Officers, and Jailers",27920,3684840,179312120,2.054986578709794,34786.50558739255
1960,Social Service,Licensed Practical and Licensed Vocational Nurses,352560,3684840,179312120,2.054986578709794,11268.92484965392
1960,Social Service,Police Officers and Detectives,284060,3684840,179312120,2.054986578709794,37086.25933384973
1960,Social Service,Pharmacists,101000,3684840,179312120,2.054986578709794,54536.64248366013
1960,Social Service,"Nursing, Psychiatric, and Home Health Aides",65280,3684840,179312120,2.054986578709794,3319.403539550631
1960,Social Service,Registered Nurses,912720,3684840,179312120,2.054986578709794,16553.651141967865
1960,Social Service,Dentists,86820,3684840,179312120,2.054986578709794,89959.1350956001
1960,Social Service,Clinical Laboratory Technologists and Technicians,198140,3684840,179312120,2.054986578709794,20555.672061199755
1960,Social Service,Firefighters,148000,3684840,179312120,2.054986578709794,40044.931859962155
1960,Social Service,"Medical Assistants and Other Healthcare Support Occupations, nec",725840,3684840,179312120,2.054986578709794,11666.789859108329
1960,Social Service,"Law enforcement workers, nec",368420,3684840,179312120,2.054986578709794,24012.116356231334
1960,Social Service,Physicians and Surgeons,246460,3684840,179312120,2.054986578709794,99061.42325892857
1960,Social Service,Dieticians and Nutritionists,42020,3684840,179312120,2.054986578709794,17559.4722513089
1960,Social Service,"Therapists, nec",49180,3684840,179312120,2.054986578709794,28317.629015860104
